,*g_LK,*g_h,*ALN*tauA,*ALN*b,*ALN*EXC*noise*mu,*ALN*INH*noise*mu,*ALNNode*noise*sigma,*TCR*noise*sigma,thal_aln,aln_thal,score,id,gen,f0,f1,f2
23826,0.0318828373412841,0.0672912275293651,1903.2904016531104,1.6611389637112288,0.6940210263283886,1.0213762030819304,0.1058802504273261,0.0041421930641993,0.1803302558259585,0.345402076905092,-0.2157017322263364,24141,37,0.9603820996083186,8.0,0.0374364814366385
23829,0.0299055184343389,0.069327539121077,1768.792607482833,1.0231020470766528,0.6638208598417432,0.961971399517304,0.052347312798328,0.0091388943850535,0.165658648084343,0.5468031026618339,0.0564683853880426,24144,37,0.9848021558552046,4.0,0.0769849984553827
23833,0.0318052196049564,0.0674738616229865,1928.5935499789257,2.009777669406839,0.6849626226630628,0.8025012668267302,0.0572619453250817,0.0049569116140948,0.1277440362992834,0.8292357724069452,-0.2099390410936432,24148,37,0.973462001850863,8.0,0.0163956256589639
23837,0.0294817844745971,0.0667325755197448,1466.4347919577883,1.6901932646973752,0.6874763130558682,1.0266390569241803,0.0522078788509635,0.0094088875179416,0.1343620785234853,0.6752522885630444,-0.2158688719631872,24152,37,0.9629457832250232,8.0,0.0527619955729243
23839,0.0285733220133564,0.0641520958182696,1796.309590915194,5.557694674948026,0.6932911390110061,0.7870834907634298,0.0178550943247459,0.0079910515014628,0.0326390807248031,3.3191939063877944,-0.017459681507363,24154,37,0.9845687527796494,5.0,0.1847389865086932
23840,0.0284752040697398,0.0668152760989722,1837.540797879451,1.7742627658010155,0.6874770582066704,1.1855035006327994,0.136050800412464,0.0004466738890804,0.1879006024417939,2.552410662790338,-0.1166500315161379,24155,37,0.958084045180297,6.000000000000001,0.5401706986435535
23848,0.0304328371220629,0.0681344854510323,1630.032958809384,1.0502781588866807,0.6747634021819778,1.1788464054652485,0.2850866245979209,0.0036393234800791,0.000140053383703,1.055576278239441,-0.2196420827215209,24163,37,0.9923680859754848,8.0,0.2564716707002374
23862,0.0274484442752387,0.0692395767503865,1768.792607482833,1.310537015518034,0.7027206045042871,0.9693980404164915,0.0934100691596258,0.0091388943850535,0.1656408885103257,0.1048089637809048,-0.1572385846778106,24177,37,0.985347298397817,7.0,0.2853152621562436
23876,0.0294763931437036,0.0678788171920918,1000.6484105285564,1.4061100914266065,0.6828555841793751,0.8688015990080216,0.0571221835481428,0.0085341578473144,0.1381091118254117,2.3639797030912364,-0.1662428696246916,24191,37,0.9532691989929772,7.0,0.2599890393352591
23881,0.0315677810472347,0.0692102307129697,1640.603211222518,1.075056883858858,0.7013997986436225,0.830632905066541,0.2216492765610749,0.0096893934187222,0.020546813441168,1.6941733482478725,-0.2161572238069025,24196,37,0.9775148368925032,8.0,0.1299325415660539
23891,0.0316843487553362,0.0671235709022952,1801.227877397224,2.38651994193085,0.6633665050967245,1.0979031820197678,0.0728664331495579,0.0050135651372039,0.1391078629132314,0.0109989941498495,-0.2124207148990803,24206,37,0.9795989635630632,8.0,0.0843055413015205
23896,0.0312610657822458,0.0695012429173077,1943.472277981588,1.4300557459121803,0.7022715656052666,1.0021531180657846,0.2730633827096562,0.017354036370642,0.0035901207477832,1.884328940491643,-0.2351227278360761,24211,37,0.9768361550823856,8.0,0.4110216929530708
23898,0.0295116075826485,0.0635253959819652,1929.3585942737975,1.077925636018354,0.6867736903389183,1.1855035006327994,0.1315524218808225,0.0014380840141943,0.1305036482600829,3.940388518184874,-0.2168243869763796,24213,37,0.9583138177137492,8.0,0.0439348932144412
23901,0.0320382939047137,0.067903459576383,1294.0547738764035,2.134752797996425,0.6669601502910492,1.0615093621687528,0.0729834646803743,0.0048122430020294,0.150818350705148,0.216968933929561,-0.2238135439846253,24216,37,0.9837360747741748,8.0,0.2758835336402545
23906,0.0290212183368616,0.0650372220305518,1992.98176491076,4.730469605463055,0.741069891853554,1.0741299860531914,0.1814955980060813,0.0018985376231022,0.0391824776874137,0.0708988222044831,-0.2165030684330864,24221,37,0.9819965133857906,8.0,0.1575285934252495
23920,0.0291643408472422,0.0668374356676855,1669.7946449334063,2.6437744909014165,0.6862729734614326,0.9512663223484529,0.0883498773293536,0.0070836484267802,0.1598810522751862,0.7567939254789517,0.0501375101705019,24235,37,0.9789269407687876,4.0,0.1425720512864083
23921,0.0302706388432682,0.0660546144117843,1991.0407629225165,1.003242722695902,0.6814034353012689,1.0487172626245058,0.1012709459799313,0.0035055768444646,0.1798895189155859,1.4162034505826684,0.0471759583540087,24236,37,0.9729371183720912,4.0,0.157046216550325
23923,0.0332459969123398,0.0696491059768771,1993.3264225660985,2.267620497010276,0.702273481337532,0.7446153905434182,0.2503994000613883,0.0173331166105076,0.0042268608182966,0.6928966036270701,-0.2055361464080262,24238,37,0.9895005170361084,8.0,0.0305447813009358
23927,0.0298794369563746,0.067608945872997,1985.3232088031048,1.0008605294149082,0.6899251281819325,0.8590292845319425,0.0810340681782483,0.0043666584309173,0.1591755816095812,1.799909701855455,0.0118346925279589,24242,37,0.9769203597790034,4.0,0.7070814109756327
23930,0.0298356543322759,0.0648799764609715,1925.9586058783404,2.71474242133188,0.6843916281483509,0.7525559458825557,0.050708019820642,0.0044791075524911,0.1531841026560163,2.189153643285439,-0.0213447793166262,24245,37,0.9547877674707874,5.0,0.0941105271033313
23931,0.0266040712583618,0.0671224099124171,1879.4932738675768,1.1624626780317815,0.6842284723380951,0.9664345640491593,0.0575222560411591,0.0108637926828774,0.1179162889255261,2.0076462469610594,-0.2264367042155932,24246,37,0.9729142071159764,8.0,0.26112159881378
23942,0.0298904281583717,0.066706758313821,1839.5627750786248,2.0942337156910944,0.6829648323824364,0.7465406683959317,0.123466215270695,0.0051041495463244,0.1415292474537116,2.362088814768657,-0.1595131896959772,24257,37,0.9502410146359412,7.0,0.1439029186193634
23954,0.030397738901,0.0691408469304594,1413.0124936857203,3.59955526110364,0.6659847861171682,1.1682152034384432,0.0670786881684759,0.0071361269648242,0.1342819084558689,0.2622814394812247,-0.2466060407986909,24269,37,0.967480482454468,8.0,0.5364930242527031
23959,0.0272369395780516,0.0690246862279802,1768.0016682494504,1.1013049203681635,0.6909726228064,0.9374666326255866,0.0595337638307125,0.0095827934128128,0.1231276612176835,2.8779113005061667,-0.2436292987581405,24274,37,0.9821765815020348,8.0,0.5653223888822816
23975,0.0298603539368977,0.0659084018846443,1816.1794778768783,1.560451071616685,0.6695280019594424,1.180750811243291,0.1249510416163419,0.0050216255269789,0.1693234409456306,2.646270997798383,-0.0148052854892118,24290,37,0.9731298284800276,5.0,0.0877284247383158
23980,0.0283721292959937,0.0698144201557594,1843.292709327781,1.0037705992988533,0.7118303246515424,0.8749899278189327,0.0887107064474795,0.0041737039857852,0.1612023935530913,0.5468533227616486,-0.2169917813427394,24295,37,0.9642899892816772,8.0,0.0763266665494772
23988,0.0312901632147944,0.0672558031698906,1991.125402032512,1.1021505109567562,0.6762321186373592,0.9640405555010576,0.0692033867405766,0.0044101163645114,0.172906685347373,2.088203626607495,-0.0854019967341042,24303,37,0.963057374153322,6.000000000000001,0.0963168217781724
24001,0.028138056079425,0.0699386027834587,1788.1272824284852,2.536563101194017,0.6833064329681425,0.7347069812637242,0.0176707212081039,0.0086361138052129,0.1826901728499396,2.5454626714231,-0.114258907024917,24316,37,0.9652172923986372,6.000000000000001,0.5399700673669412
24011,0.0309256974022807,0.0671282822479641,1796.715482041809,1.8166173328193724,0.6700680764314317,0.7673640732487341,0.1244709987980558,0.0033543760318365,0.1486909727951008,2.608294001137736,-0.2386978328071181,24326,37,0.9527844567656494,8.0,0.344389775935018
24013,0.0293323618427905,0.0694434634374929,1918.6701394131408,1.3291734310775605,0.6912026418456372,0.7089325424829576,0.0838651839712496,0.0090990066392667,0.1190933262606206,4.564865564267286,-0.2173292733230222,24328,37,0.9753997950126188,8.0,0.1369380749084268
24014,0.0302160499021448,0.0687889779034608,1880.828864523612,1.1019503127339143,0.6831198266068979,1.032141195056159,0.0880045784481458,0.0089781716568702,0.1455679365230691,0.6786263077628132,-0.2080698979675393,24329,37,0.9802905661644482,8.0,0.0225013003353304
24023,0.0299170487707502,0.0696443219924291,1800.5089337805498,1.3994188005139865,0.6551758923874738,1.1666185082703058,0.0428884315251535,0.0079069271628093,0.2045612724954665,0.6561840723180958,-0.2253061185984063,24338,37,0.9555983975742992,8.0,0.1575837668475892
24026,0.030056011424905,0.0693597896996581,1948.0668281077972,1.0267378189609786,0.6831578514899265,1.0309352797091234,0.1027344365589243,0.0087586704586201,0.1534813117167678,0.7281470996675533,-0.1430437116732748,24341,37,0.980334591792438,7.0,0.0473286340613126
24029,0.0303006420151323,0.067685906116254,1822.524790084456,2.6742031459410542,0.7030422534241598,1.0712439307226735,0.0768661997460678,0.006795535036105,0.2292281521884867,1.4238260120996462,-0.0902204528086762,24344,37,0.9613174327782914,6.000000000000001,0.1598939560216004
24046,0.0315644719646114,0.067904675397263,1983.8157035144195,1.067257715999515,0.6762737606126941,0.8590941262461312,0.0100948007917632,0.0051247055904346,0.1261141136982175,4.050544743875589,-0.1081324740130335,24361,37,0.9659606715464693,6.000000000000001,0.4517904679278484
24048,0.030866775771192,0.0675782265958203,1868.3148134191656,1.0488772855265425,0.6818215557742782,0.8343798868053189,0.0773372405548974,0.0052262026818622,0.1855668422661069,0.2195834093431734,-0.08350992358721,24363,37,0.9786976574027302,6.000000000000001,0.1461371408218013
